trial,kind,valid,informative,updown,unknown,usb,signal
1,BASE,1,1,1,0,0,1
1,CAND,0,1,242,0,11,0
2,BASE,1,1,3,0,0,1
2,CAND,1,1,1057,0,0,0
3,BASE,1,1,3,0,0,1
3,CAND,1,0,0,0,0,0
4,BASE,0,1,3,0,1,1
4,CAND,1,0,0,0,0,0
5,BASE,1,1,3,0,0,1
5,CAND,1,0,0,0,0,0
6,BASE,1,1,3,0,0,1
6,CAND,1,0,0,0,0,0
7,BASE,0,1,1,0,1,1
7,CAND,0,1,270,0,11,0
8,BASE,1,1,3,0,0,1
8,CAND,1,0,0,0,0,0
9,BASE,1,1,3,0,0,1
9,CAND,1,0,0,0,0,0
10,BASE,0,1,3,0,1,1
10,CAND,1,0,0,0,0,0
11,BASE,1,1,3,0,0,1
11,CAND,1,0,0,0,0,0
12,BASE,1,1,3,0,0,1
12,CAND,1,0,0,0,0,0
