atc-fib-fm350_gl - 2024-08-04-0.2
mt7981-wo-firmware - 20241110-r2
mtd - 26
netifd - 2025.05.23~7901e66c-r1
nftables-json - 1.1.1-r1
odhcp6c - 2024.09.25~b6ae9ffa-r1
odhcpd-ipv6only - 2025.10.02~b14cf98c-r2
openwrt-keyring - 2024.11.01~fbae29d7-r2
opkg - 2024.10.16~38eccbb1-r1
ppp - 2.5.1-r1
ppp-mod-pppoe - 2.5.1-r1
procd - 2026.03.14~c59f2d80-r1
procd-seccomp - 2026.03.14~c59f2d80-r1
procd-ujail - 2026.03.14~c59f2d80-r1
px5g-mbedtls - 11
python3 - 3.11.14-r1
python3-asyncio - 3.11.14-r1
python3-base - 3.11.14-r1
python3-cgi - 3.11.14-r1
python3-cgitb - 3.11.14-r1
python3-codecs - 3.11.14-r1
python3-ctypes - 3.11.14-r1
python3-dbm - 3.11.14-r1
python3-decimal - 3.11.14-r1
python3-distutils - 3.11.14-r1
python3-email - 3.11.14-r1
python3-light - 3.11.14-r1
python3-logging - 3.11.14-r1
python3-lzma - 3.11.14-r1
python3-multiprocessing - 3.11.14-r1
python3-ncurses - 3.11.14-r1
python3-openssl - 3.11.14-r1
python3-pip - 23.3.1-r1
python3-pydoc - 3.11.14-r1
python3-readline - 3.11.14-r1
python3-sqlite3 - 3.11.14-r1
python3-unittest - 3.11.14-r1
python3-urllib - 3.11.14-r1
python3-uuid - 3.11.14-r1
python3-xml - 3.11.14-r1
rpcd - 2025.09.01~bba95191-r1
rpcd-mod-file - 2025.09.01~bba95191-r1
rpcd-mod-iwinfo - 2025.09.01~bba95191-r1
rpcd-mod-luci - 20240305-r1
rpcd-mod-rrdns - 20170710
rpcd-mod-ucode - 2025.09.01~bba95191-r1
socat - 1.8.0.3-r2
terminfo - 6.4-r2
ubi-utils - 2.2.1-r1
uboot-envtools - 2024.07-r1
ubox - 2024.04.26~85f10530-r1
ubus - 2025.10.17~60e04048-r1
ubusd - 2025.10.17~60e04048-r1
uci - 2025.01.20~16ff0bad-r1
uclient-fetch - 2024.10.22~88ae8f20-r1
ucode - 2025.07.18~3f64c808-r1
ucode-mod-fs - 2025.07.18~3f64c808-r1
ucode-mod-html - 1
ucode-mod-math - 2025.07.18~3f64c808-r1
ucode-mod-nl80211 - 2025.07.18~3f64c808-r1
ucode-mod-rtnl - 2025.07.18~3f64c808-r1
ucode-mod-ubus - 2025.07.18~3f64c808-r1
ucode-mod-uci - 2025.07.18~3f64c808-r1
ucode-mod-uloop - 2025.07.18~3f64c808-r1
uhttpd - 2025.07.06~7e64e8ba-r4
uhttpd-mod-ubus - 2025.07.06~7e64e8ba-r4
umbim - 2022.08.13~146bc77c-r25
urandom-seed - 3
urngd - 2023.11.01~44365eb1-r1
usign - 2020.05.23~f1f65026-r1
wifi-scripts - 1.0-r1
wireless-regdb - 2026.03.18-r1
wpad-basic-mbedtls - 2024.09.15~5ace39b0-r2
wwan - 2019.04.29-r6
zlib - 1.3.1-r1
